Acronym,Term,Category
ACMS,Advanced Cost Management Systems,General
ACO,Administrative Contracting Officer,General
ACOG,American College of Obstetricians & Gynecologists,General
ACP,American College of Physicians,General
ACPS,Advanced Claims Processing System,General
ACPV,Average Cost per Visit,General
ACR,American College of Radiology,General
ACRG,Annual Compound Rate of Growth,General
ACRS,Accelerated Cost Recovery System,General
ACS,American College of Surgeons,General
ACS,Automated Cartridge System,General
ACSC,Ambulatory Care Sensitive Conditions,General
ACSS,Advisory Council on Social Security,General
ACT,Access Control Table,General
ACTS,Automated Case Tracking System,General
ACU,Automatic Calling Unit,General
ACV,Arithmetic Coefficient of Variation,General
AD,Admitting Diagnosis,General
ADA,American Dental Association,General
ADA,American Dietetic Association,General
ADAD,After Date of Award Document,General
ADAMHA,"Alcohol, Drug Abuse & Mental Health Administration",General
ADAP,AIDS Drug Assistance Program,General
ADAPSO,Association of Data Processing Services Organization,General
ADARS,Automated DASD Archival Restoration System,General
ADG,Ambulatory Diagnostic Group,General
ADG-HOSDOM,Ambulatory Diagnostic Group Hospital Dominant,General
ADHA,American Dental & Hygienists Association,General
ADJ,Adjusted Claim,General
ADMC,Advance Determination of Medicare Coverage,General
ADMS,Administrative Message,General
ADOBI,Advanced DOB Information (System) (SSA),General
ADP,Automated Data Processing,General
ADR,Alternative Dispute Resolution (EEO),General
ADR,Automated Date Review,General
ADR,Automated Desk Review,General
ADS,Alternative Delivery System,General
ADS,"Amount, Duration & Scope",General
ADS,Automated Data System,General
ADS,Automated Development System,General
ADSB,Application Development System Batch,General
ADSO,Application Development System Online,General
ADWOH,Average Day's Work On Hand,General
AE,Administrative Enhancement,General
AEP,Annual Coordinated Election Period,General
AEP,Appropriateness Evaluation Period,General
AERO,Automatic Earnings Recomputation Operation (MBR),General
AF,Administrative Function,General
AFA,Alternative Form of Annuity,General
AFCEA,Armed Forces Communications & Electronics Association,General
AFDS,Alternative Financing & Delivery System,General
AFEHCT,American Federation of Electronic Health Care Transactions,General
AFFIRM,Association of Federal Information Resources Management,General
AFHHA,American Federation of Home Health Agencies,General
AFIPS,American Federation of Information Resources Societies,General
AFN,Accumulation File Number,General
AFPS,Accounting for Pay System,General
AFSCME,"American Federation of State, County & Municipal Employees",General
AG,Affiliated Group,General
AGA,Association of Government Accounts,General
AGPAM,American Guild of Patient Account Managers,General
AHCA,American Health Care Association,General
AHES,Average Hourly Earnings,General
AHFSA,Association of Health Facility Survey Agencies,General
AHIMA,American Health Information Management Association,General
AHP,Accountable Health Partnership,General
AHP,Accountable Health Plan,General
AHP,Alternative Health Plan,General
AHP,Average Historical Payment,General
AHPA,American Health Planning Association,General
AHPB,Adjusted Historical Payment Basis,General
AHRQ,Agency for Healthcare Research and Quality,General
AHSEA,Adjusted Hourly Salary Equivalency Amount,General
AHSS,Adhoc Sampling Survey,General
AI,Audit Intermediary,General
AIC,Amount In Controversy,General
AICC,Anti-Inhibitor Coagulant Complex,General
AICPA,American Institute of Certified Public Accountants,General
AICR,Alternative Internal Control Review,General
AID,Agency for Informational Development,General
AID,Agency for International Development,General
AIF,Applications Interface Facility,General
AIIM,Association for Information & Image Management (trade association),General
AIM,Automated Insertion Machine,General
AIMS,Audit Information Management System,General
AINS,Advanced Information Network System,General
ALBN,Amount of Last Billing Notice,General
ALC,Active License Counter,General
ALC,Active Location Counter,General
ALC,Alternate Level of Care,General
ALE,Annual Loss Expectancy,General
ALFA,Assisted Living Federation of America,General
ALJ,Administrative Law Judge,General
ALNF,Auto Liability NoFault,General
ALS,Advanced Logistics System,General
ALSO,Automatic Lump Sum Operation (MBR),General
AM,Adjustment Module,General
AM,Amplitude Modulation,General
AMASDS,Asset Management & Automated Software Distribution System,General
AMCP,Academy of Managed Care Pharmacy,General
AMCRA,American Medical Care & Review Association,General
AMCS,Automated Medical Coding System,General
AMHPS,Association of Minority Health Professional Schools,General
AMIS,American Management Information System,General
AML,Arithmetic Mean of the Logarithm,General
AMOC,Automated Manual Ordering Cycle,General
AMP,Average Manufacturer's Price,General
AMR,Acquisition Management Review,General
AMRA,American Medical Records Association,General
AMS,Activities Management System,General
AMW,Average Monthly Wage,General
AN,Account Number (also A/N),General
ANA,American Nurses Association,General
ANCHR,Access to the NCH Repository (online query to 5% sample),General
ANCI,American National Standards Institute,General
ANDA,Abbreviated New Drug Applications,General
ANNA,American Nephrology Nurses Association,General
ANSCII,American National Standard Code for Information Interchange,General
ANSI,American National Standards Institute,General
ANSI X12 837,American National Standards Institute Health Data Committee X12 file format 837,General
AO,Accreditation Organization,General
AOA,American Optometric Association,General
AOA,American Osteopathic Association,General
AOLS,All Other Local Screens,General
AONE,American Organization of Nurse Executives,General
AOPA,American Orthotic & Prosthetic Association,General
AOR,After Outliers Removed,General
AOR,Application Owning Region,General
AP,Award Processing,General
APA,American Pharmaceutical Association,General
APA,American Psychiatric Association,General
APACHE,Acute Physiology & Chronic Health Evaluation,General
APC,Ambulatory Payment Class,General
APC,Average Per Capita,General
APC,Average Projected Costs,General
APCSS,Automated Production Control & Scheduling System (at HDC),General
APDA,Accretion Premium Due Amount,General
APDSR,Average Per Diem State Rate,General
APF,Authorized Program Facility,General
APG,Ambulatory Patient Group,General
APG,Ambulatory Payment Group,General
APHA,American Public Health Association,General
APHP,Acute Partial Hospitalization Program,General
APHP,Applied as Hospital Insurance Premiums,General
APHSA,American Public Human Services Association,General
API,Application Programming Interface,General
APM,Admission Pattern Monitoring,General
APM,Audit Priority Matrix,General
APMA,American Podiatric Medical Association,General
APME,Advisory Panel on Medicare Education,General
APO,Awards Processing Operation,General
APP,Application Portability Profile,General
APPC,Advanced ProgramtoProgram Communication,General
APPS,(GHP) Automated Plan Payment System,General
APR,Acquisition Procurement Request,General
APR,Agency Procurement Request,General
APR,Average Payment Rate,General
APS,Acquisition Planning Schedule,General
APS,Acute Physiology Score,General
APS,Adjudication Payment System,General
APS,Annual Person Summary System,General
APS,Application Productivity System,General
APSA,American Political Science Association,General
APT,Automated Production Turnover,General
APWA,American Public Welfare Association (changed to APHSA),General
AQI,Audit Quality Initiative,General
AQRP,Audit Quality Review Program,General
AR,Accounts Receivable,General
AR,Alpha Representation,General
ARA,Assistant Regional Administrator,General
ARA,Associate Regional Administrator,General
ARC,AIDS Related Complex,General
ARC,Association for Retarded Citizens,General
ARCS,Accounts Receivable & Collection System,General
ARF,Actuarial Reduction Factor Program (MBR),General
ARF,Area Resource File,General
ARIMA,Arithmetic Moving Average,General
ARK,Arkansas Part B System,General
ARMIS,Ad Hoc Reports Management Information System,General
ARMS,Adhoc Reports Management System,General
ARMS,Automated Resource Management System,General
ARO,Annualized Rate of Occurence,General
ARP,Admission Review Program,General
ARS,Active Record Status,General
ARS,Advanced Record System (GSA),General
ARS,Advanced Retrieval System,General
ARS,Age/Race/Sex,General
ARS,Agricultural Research Service,General
ARS,Altanthus Response System,General
ARSTOP,ARS Telephone Communications Operating Procedures,General
ARTEMIS,(mainframe project management software testing tool),General
ARTS,Automated Reporting & Tracking System,General
ARU,Audio Response Unit,General
ARU,Automated Response Unit (Phone system with automated routing),General
AS,Administrative Simplification,General
AS,Advanced System (AJS),General
AS,American Samoa,General
AS,Application System,General
ASAP,American Society of Automation in Pharmacy,General
ASAP,Automated Standard Application for Payments,General
ASBCA,Armed Services Board of Contract Appeals,General
ASBCA,Armed Services Board of Contract/State Assessments,General
ASC,Accredited Standards Committee (ANSI),General
ASC,Ambulatory Surgical/Surgery Center,General
ASCII,American Standard Code for Information Interchange (see ANSCII),General
ASCM,Application Software Configuration Management,General
ASCO,American Society of Clinical Oncology,General
ASCP,American Society of Consultant Pharmacists,General
ASCPT,American Society of Clinical Pharmacology & Therapeutics,General
ASCT,American Society of Cytotechnology,General
ASCW,Audit Selection Criteria Worksheet,General
ASER/SA,Annual State Evaluation Report/State Assessments,General
ASF,Automatic System Facility,General
ASH,Assistant Secretary for Health,General
ASHP,American Society of Health Systems Pharmacists,General
ASHP,American Society of Hospital Pharmacists,General
ASHRM,American Society of Healthcare Risk Management,General
ASI,Alert Screen Initiative,General
ASIC,Application Specific Integrated Circuit,General
ASIM,American Society of Internal Medicine,General
ASIS,Association Society of Industrial Security,General
ASM,Annuity & Survivors Master (OPM file),General
ASMB,Assistant Secretary for Management & Budget,General
ASMH,Assembler H Software,General
ASMT,American Society for Medical Technologists,General
ASO,Administrative Services Only,General
ASP,Acquisition Strategy Plan,General
ASPA,American Society of Public Administrators,General
ASPE,Assistant Secretary for Planning & Evaluation,General
ASPEN,Automated Survey Processing Environment,General
ASPER,Assistant Secretary for Personnel,General
ASTER,Automated System for Transaction Exception Resolution,General
ASTHO,Association of State & Territorial Health Offices,General
ASTM,American Society for Testing & Materials,General
ASTME31,ASTM Committee 31,General
ASTS,American Society of Transplant Surgeons,General
ATARS,Audits Tracking & Reporting System,General
ATB,All Trunks Busy,General
ATBCB,Architectural & Transportation Barriers Compliance Board,General
ATLA,Association of Trial Lawyers of America,General
ATM,Aschronous Transfer Mode,General
ATP,Advanced Technology Projects (GTE),General
ATRA,American Therapeutic Recreation Association,General
ATSDR,Agency for Toxic Substances & Disease Registry (EPA),General
AUF,Automatic Update Facility,General
AUSA,Assistant United States Attorney,General
AUSCT,Autologous Stem Cell Transplantation,General
AUSU,Assistant U S Attorney,General
AUTO3480,HDC LMS Robotic Processing software,General
AVERT,AntiVirus Emergency Response Team (McAfee),General
AVGS,Ambulatory Visit Groups,General
AVP,Assistant Vice President,General
AVT,Automated Voice Technology,General
AWAS,Automated Work Administration System,General
AWP,Actual Wholesale Price,General
AWP,Average Wholesale Price,General
AWP,Average Wholesale Price (Drugs),General
AZT,Azidothymidine (AIDS drug therapy),General
B&P,Bid & Proposal,General
BA,Basic Agreement,General
BA,Budget Administration,General
BA,Budget Authority,General
BAAADS,Budget Apportionment Allotment Allowance & Database System,General
BAC,Billing Action Code,General
BACOM,Beneficiary Annotation & Communication Operation,General
BAR,Beneficiary Adjustment Report,General
BARS,Bid Analysis & Reporting System,General
BATF,"Bureau of Alcohol, Tobacco & Firearms",General
BBA,Balanced Budget Act,General
BCA,Board of Contract Appeals,General
BCC,Billing Cycle Code,General
BCC,Block Check Character,General
BCCE,Baltimore Computer Conference & Exposition,General
BCCP,Business Continuity & Contingency Plan,General
BCD,Binary Coded Decimal,General
BCN,Batch Clearance Notice,General
BD,Budget Distribution,General
BDAM,Basic Data Access Method,General
BDF,Bulk Data Facility,General
BDOD,Beneficiary Date of Death,General
BDP,Beneficiary Database Prototype,General
BDPC,Breakthrough Drug Pricing Committee,General
BDPP,Beneficiary Database Prototype Project,General
BDTS,Batched Data Transmission System,General
BEA,Budget Expense Account,General
BEA,Bureau of Economic Affairs,General
BEA,Bureau of Economic Analysis,General
BEA,Business Enterprise Area,General
BEAM,Brain Electrical Activity Mapping,General
BEAU,Budget Expense Account Unit,General
BEER,Beneficiary Earnings Exchange Record,General
BEI,Budget Estimating Initiative,General
BENDEX,Beneficiary & Earnings Data Exchange System,General
BENDEX,Beneficiary Data Exchange,General
BERT,(EDB) Beneficiary Enrollment Retrieval System,General
BESS,Part B Extract & Summary System (nee BMAD),General
BEST,Beneficiary Eligibility State Tape (EDB Bene Alpha File),General
BEST,Beneficiary State Totals (from SPACE System),General
BETOS,Berenson Eggers Type of Service,General
BF,Beneficiary File,General
BGN,Beneficiary Given Name,General
BHO,Behavioral Health Organization,General
BHS,Business Health Services,General
BI,Background Investigation,General
BI,Benefits Integrity,General
BI,Buy In,General
BIA,Business Impact Analysis,General
BIC,Beneficiary Identification Code,General
BICEQN,BIC Equate Number,General
BIEC,BuyIn Eligibility Code,General
BIER,Billing Information Exchange Record,General
BIF,Beneficiary Insurance File,General
BIF,Benefit Information Form,General
BIMF,Beneficiary Inactive Master File,General
BIPA,"Benefits, Improvements & Protection Act of 2000",General
BISC,Benefit Integrity support Center,General
BISYNC,Binary Synchronous Communication (IBM data communications protocol),General
BIT,Beneficiary Inquiries Taskforce,General
BITF,Beneficiary Implementation Task Force,General
BITS,Beneficiary Information Tracking System,General
BITS,Beneficiary Inquiry Tracking System,General
BITSMIS,BITS Management Information System,General
BIW,Beneficiary Inquiries Workgroup,General
BL,Black Lung,General
BLASER,Black Lung Automated Search & Edit Routine,General
BLM,Bureau of Land Management,General
BLP,Bypass Label Processing,General
BLS,Basic Life Support,General
BLS,Bureau of Labor Statistics,General
BLS,Bureau of Labor Statistics (DOL),General
BLUC,Bottom Line Unit Cost,General
BLUES,Blue Cross/Blue Shield associations,General
BMA,BioMedical Applications,General
BMACS,Part B Medicare Automated Claims Systems,General
BMCHRD,Bureau of Maternal & Child Health & Resources Development,General
BOA,Basic Ordering Agreement,General
BOAN,Beneficiary's Own Account Number (SSN),General
BOCMIS,Beneficiary Overpayment Control & Management Information System,General
BOD,Bid Opening Date,General
BOIS,Beneficiary Online Inquiry System (HI/SMI online in HCFA),General
BOM,Bill of Materials,General
BOMA,Building Owners & Managers Association,General
BOME,Bureau of Medical Examiners,General
BOR,Before Outliers Removed,General
BOSS,Best on Open Systems Solutions,General
BOSSN,Beneficiary's Own SSN,General
BP,Best Price,General
BPA,Blanket Purchase Arrangement (or Agreement),General
BPC,Base Period Charge,General
BPO,Bargain Purchase Option,General
BPR,Budget & Performance Requirements,General
BPR,Business Process Reengineering,General
BPS,Budget Preparation System,General
BPST,Bill Processing System Test,General
BQAS,Part B Quality Assurance System,General
BR,Budget Request,General
BRA,Business Resumption Assessment,General
BRC,Base Rate Calculation,General
BRDPI,Biomedical Research & Development Price Index,General
BRDS,Bill Review Documentation Summary form,General
BRI,Basic Rate Interface,General
BRI,Benefit Rate Increase,General
BRRR,Bills Received & Returned Report,General
BRS,Bibliographic Retrieval Service,General
BRT,Business Roundtable,General
BSA,Business Software Alliance,General
BSC,Binary Synchronous Communication,General
BSF,Benefit Stabilization Fund,General
BSP,Business Systems Planning,General
BSR,(Part B) Bill Summary Records,General
BSRS,Benefit Savings Reporting System,General
BSS,Beneficiary Satisfaction Survey,General
BSS,Benefit Summary Statistics,General
BTW,Bill Type Weight,General
BUCS,Budget Under Control System,General
BUR,Billing Update Record,General
BUTE,Beneficiary Database Update Transaction System (HDBUTE),General
BVR,Budget Variance Report,General
BVS,Bureau of Vital Statistics,General
BY,Budget Year,General
C&P,Compensation & Pension (DVA),General
C/BR,Cost/Benefit Ratio,General
C/BR,Cost/Burden Reduction,General
C/O,Center or Office,General
C/S,Client/Server,General
C/SPS,Cost/Scheduling Performance System,General
C2IW,CAFM II Implementation Workgroup,General
CA,Certification Authority,General
CA,Change Administration,General
CA,Claims Analyst,General
CA,Competitive Advocate,General
CAAS,Certificate for Advisory & Assistance Services,General
CAAS,Contracted Advisory & Assistance Services,General
CABBS,Carrier Bulletin Board System,General
CABLE,Combined A/B Local Eligibility,General
CABS,Carrier Access Billing System,General
CABS,Contractor Administrative Budget & Cost Reporting System,General
CABWF,Combined A/B Working File (also see CWF),General
CAC,Carrier Advisory Committee,General
CAC,Categorical Assistance Code,General
CAC,Contractor Advisory Committee,General
CACO,Corporate Administrative Contracting Officer,General
CAFM,"Contractor Administrative, Budget & Financial Management",General
CAGE,Contractor & Government Entity Code (formerly FSCM),General
CAHHS,California Association of Hospitals & Health Systems,General
CAHP,Consumer Assessment of Health Plan,General
CAHPS,Consumer Assessments of Health Plans Survey,General
CAHSA,California Association of Home Services for the Aged,General
CALSO,(Death Termination System (SSA)),General
CAMP,Carrier Accountability Monitoring Project,General
CAMS,Customer Account Management System,General
CAN,Claim Account Number,General
CAN,Common Accounting (or Account) Number,General
CANDA,Computer Assisted New Drug Applications,General
CAP,Change Acceleration Process,General
CAP,Corrective Action Plan,General
CAP-REL,Capital Related,General
CAPI,Computer Assisted Personal Interviewing (software),General
CAPS,Capitated Ambulatory Plan,General
CAPS,Claims Automated Processing System (SSA MBR),General
CAR,Corrective Action Review,General
CAR,Cost Accounting Report,General
CARE,Center for Analytical Review & Education,General
CARES,Contractors Analysis & Reporting System,General
CARF,Commission on Accreditation of Rehabilitation Facilities,General
CARRPR,Carrier Payment Record,General
CAS,Cost Accounting Standards,General
CASB,Cost Accounting Standards Board,General
CASE,Committee on Academic Science & Engineering Report,General
CASE,Computer Aided (or Assisted) Software Engineering,General
CASE,Computer Assisted Systems Engineering,General
CASF,Carrier Alphabetic State File,General
CASL,Competition Advocate Shopping List,General
CASO,(HI) Combine & Sort Operation,General
CASPER,Certification and Survey Provider Enhanced Reporting,General
CASPRO,Clinical Area Support PRO,General
CASR,Contractor Audit & Settlement Report (System),General
CAST,Carrier Alpha State Microfilm/Microfiche System,General
CAST,Carrier Alpha State Tape,General
CAST,Contractor Assessment Security Tool,General
CASU,Cooperative Administrative Support Program,General
CAT,Computerized Axial Tomography,General
CAWR,Combined Annual Wage Reporting,General
CB,Consolidated Billing,General
CB,Cost Benefit,General
CBA,Cost/Benefit Analysis,General
CBC,Center for Beneficiary Choices,General
CBC,Cipher Block Chaining,General
CBI,Confidential Business Information,General
CBO,Congressional Budget Office,General
CBR,CASE Based Reasoning,General
CBR,Cost Based Reimbursement,General
CBS,Current Beneficiary Survey (by OACT),General
CBSR,Cost Benefit Savings Report,General
CBSS,Customer Billing Services System,General
CBT,Computer Based Training,General
CC,Ceiling Cost,General
CC,Claims Control,General
CC,Complication or Comorbidity,General
CC,Condition Code,General
CC,Configuration Control,General
CCA,Catastrophic Coverage Act,General
CCA,Child Care Association,General
CCC,Change Control Coordination,General
CCC,Civilian Conservation Corps,General
CCC,Comprehensive Care Center,General
CCDR,Contract Cost Data Report,General
CCDRS,Contract Cost Data Reporting System,General
CCHCC,Coordinating Center for Home & Community Care,General
CCI,Correct Coding Initiative,General
CCIP,Chronic Care Improvement Programs,General
CCITT,Consultative Committee on International Telephone & Telegraph,General
CCLR,Claims Collection Litigation Report,General
CCM,Common Cap Module,General
CCN,Carrier Control Number,General
CCN,Claim Control Number,General
CCN,Correspondence Control Number,General
CCO,Claims Collection Officer,General
CCP,Change Control Planning,General
CCP,Comprehensive Care Provider,General
CCP,Comprehensive Compliance Program,General
CCP,Coordinated Care Plans,General
CCPR,Coordinated Comprehensive Provider Review,General
CCR,Cost to Charge Ratio,General
CCR,Coverage Compliance Reviews,General
CCRC,Continuum of Care Residential Center,General
CCS,Community Care Setting,General
CCS,Contract Control System,General
CCU,(Carrier) Cost Containment Unit,General
CCUITT,Consultive Committee on International Telegraphy & Telephony,General
CD,Civil Defense,General
CD-RISC,Clinically Detailed Risk Information System for Costs,General
CDB,(Carrier) Correspondence Database System,General
CDC,Corporate Data Center,General
CDE,Core Data Element,General
CDF,Children's Defense Fund,General
CDI,Catastrophic Drug Insurance (Trust Fund),General
CDM,(Hospital) Charge Description Master (Files),General
CDOC,Covered Days of Care,General
CDP,Computerized Decision Procedures,General
CDR,Continuing Disability Review,General
CDR,Critical Design Review,General
CDRG,Children's Diagnosis Related Groups,General
CDRL,Contract Data Requirements List,General
CDRTS,COMDISCO Disaster Recovery Services,General
CDS,Central Distribution System,General
CDS,Chain Directory System,General
CDW,Collision Damage Waiver,General
CDWOH,Calendar Days Work on Hand,General
CEA,Cost Effectiveness Analysis,General
CEA,Council of Economic Advisors,General
CEB,Contractor Efficiency Benchmark,General
CEB,Cost Efficiency Benchmark,General
CEBMA,Computer & Business Equipment Manufacturers Association,General
CED,Committee for Employees with Disabilities,General
CELIP,Claim Expansion & Line Item Processing,General
CEMS,CostEffectiveness Measurement System,General
CER,Capital Expenditure Review,General
CER,Combined Exchange Record (from the MBR) (nee URIC),General
CER,Comprehensive Evaluation Report,General
CER,Cost Estimating Relationship,General
CERT,Comprehensive Error Rate Testing,General
CES,Cost Estimating System,General
CES,Credential Evaluation Service,General
CF,Case Folder Control System,General
CF,Conversion Factor,General
CFB,Cipher Feedback,General
CFE,Contractor Furnished Equipment,General
CFO,Chief Financial Officer,General
CFOA,Chief Financial Officer's Act of 1990,General
CFPP,Contracting for Prepaid Plans,General
CFR,Code of Federal Regulations,General
CFSR,Contract Funds Status Report,General
CGMP,Current Good Manufacturing Practice,General
CHA,Catholic Health Association,General
CHA,County Health Authorities,General
CHAFF,Change of Address System (MBR),General
CHAIN,Chain Provider Director System,General
CHAMPUS,Civilian Health & Medical Programs of the Uniformed Services (Now TRI-CARE),General
CHAMPVA,Civilian Health & Medical Program of the Veterans Administration,General
CHAP,Child Health Assurance Program,General
CHAP,Community Health Accreditation Program,General
CHAPS,Consumer Assessment of Health Plans Survey,General
CHBI,Commission on Health Benefits & Integration,General
CHC,Community Health Center,General
CHC,Comprehensive Health Center,General
CHC,Continuous Home Care,General
CHCC,Center for Hospital & Community Care,General
CHCL,Center for Health Care Law,General
CHDR,Center for Health Dispute Resolution,General
CHDS,(National) Charge Distribution System,General
CHER,Center of Health Economics Research (aka HERI),General
CHF,Congestive Heart Failure,General
CHHA,Certified Home Health Agency,General
CHHC,Continuous Home Health Care,General
CHI,Catastrophic Health Insurance,General
CHICN,HI Enrollment Cards Operation (HECHICN),General
CHICO,Combined Health Insurance & Checkwriting Operations,General
CHIM,Center for Healthcare Information Management,General
CHIP,Catastrophic Health Care Program,General
CHMSA,Critical Health Manpower Shortage Area,General
CHN,Community Health Network,General
CHO,Community Health Organization,General
CHOW,Change of Ownership,General
CI,Catastrophic Indicator,General
CI,Configuration Identification,General
CI,Configuration Item,General
CI,Control Interval,General
CIA,Commercial Industrial Activity (also GCIA),General
CIADV,Carrier/Intermediary Advance Notice,General
CICA,Competition in Contracting Act (1984),General
CICG,Critical Infrastructure Coordination Group,General
CICO,Commercial Industrial Control Officer,General
CICS,Customer Information Control System (replaces SSADARS),General
CID,Commercial Item Description,General
CIEP,Contractor Inspection & Evaluation Program,General
CIM,Corporate Information Management,General
CIM,Coverage Issues Manual,General
CIMS,Case Investigation Management System,General
CIN,Common Identification Number,General
CIO,Chief Information Officer,General
CIP,Claims In Process,General
CIP,Competitive Incentive Program,General
CIP,Continuous Improvement Process Program,General
CIP,Customer Initiated Payments,General
CIPS,(FRC) Center Information Processing System,General
CISC,Complex Instruction Set Computing,General
CISTR,"Correspondence Image Storage, Transmission & Retrieval",General
CITIC,Consolidated Information Technology Infrastructure Contract,General
CKD,Count Key Data,General
CKM,Constructive Key Management,General
CLAIM,Community Leaders Assisting the ICA (Insurance Counseling Assistance) in Missouri,General
CLCCP,Comprehensive Limiting Charge Compliance Program,General
CLFS,Clinical Laboratory Fee Schedule,General
CLIA,Clinical Laboratory Improvement Act (of 1965) (Amendments 1988),General
CLIA,Clinical Laboratory Interstate Act (or Amendments),General
CLM,Current Logical Model,General
CLMA,Clinical Laboratory Management Association,General
CLOE,(Carrier) Claims Only Entry System,General
CLUW,Coalition of Labor Union Women,General
CM,Complexity Metrics,General
CM,Configuration Management,General
CM,Configuration Manual,General
CMA,Contract Management Action,General
CMA,Current Month Accrual,General
CMD,Carrier Medical Director,General
CMD,Contractor Medical Directors,General
CMFMRA,Consolidated Master File of Military Retirees & Annuitants,General
CMG,Case Mix Group,General
CMG,Computer Measurement Group,General
CMG,Contractor Management Group,General
CMHC,Community Mental Health Center (or Clinic),General
CMHS,Continuous Medical (or Medicare) History Sample (or Study),General
CMI,Case Mix Index,General
CMIS,Communications Management Information System,General
CMM,Capability Maturity Model,General
CMN,Certified Medical Necessity,General
CMP,Capacity Management Program,General
CMP,Career Management Program,General
CMP,Change Management Process,General
CMP,Civil Monetary Penalty,General
CMP,Competitive Medical Plan,General
CMP,Competitive Medical Plan (under TEFRA),General
CMP,Comprehensive Medical Plan,General
CMP,Configuration Management Plan,General
CMP-EIS,CMP Executive Information System,General
CMPL,Civil Monetary Penalty Law,General
CMPL,Civil Monetary Penalty Liability,General
CMPTS,Civil Monitory Penalty Tracking System,General
CMR,Comprehensive Medical Review,General
CMRI,"California Medical Review, Inc.",General
CMS,Centers for Medicare & Medicaid Services,General
CMSA,Consolidated Metropolitan Statistical Area,General
CMSS,Council of Medical Specialty Societies,General
CMTI,Customized Claims System Identifier,General
CNACO,Community Nursing & Ambulatory Care Organization,General
CNBC,Congress of National Black Churches,General
CNH,Community Nursing Home,General
CNPB,Clean NonPIP Bills,General
CNV,Conversion Phase,General
CO,Central Office,General
CO,Change Order,General
CO,Coinsurance,General
CO,Contract Officer,General
CO,Control Officer,General
COB,Close of Business,General
COB,Coordination of Benefit,General
COC,Certificate of Competency,General
COCA,Clearinghouse on Computer Accommodation,General
COF,Carrier Option File,General
COFFE,Council of Former Federal Employees,General
COG,Continuity of Government,General
COGME,Council On Graduate Medical Education,General
COI,Certificate of Indebtedness,General
COI,Change of Intermediaries,General
COM,Centralized Office Minicomputer,General
COM,Computer Output Microfilm,General
COM,Current Operating Month,General
COMPAS,COMDISCO Plan Automation System,General
COMSEC,Communication Security,General
CON,Certificate of Need,General
CONOPS,Concept of Operations,General
CONUS,"Continual U.S. (48 Contiguous states & DC, aka: CONTERMINOUS U.S.)",General
COO,Chief of Operations,General
COO,Chief Operating Officer,General
COOP,Continuity of Operation Plan,General
COP,Concept of Operations Papers,General
COP,Conditions of Participation,General
COP,Continuation of Pay,General
COPC,Community Oriented Primary Care,General
COPD,Chronic Obstructive Pulmonary Disease,General
COPES,Community Options Program Entry System,General
CORC,Carrier of Record Control,General
CORF,Comprehensive Outpatient Rehabilitation Facility,General
CORTS,Calculation of Overpayment Recovery Timeliness System,General
