Acronym,Term,Category
ITMRA,Information Technology Management Reform Act of 1996,IT Organization
ITS,Information Technology Systems,IT Organization
IVR,Interactive Voice Response,IT Organization
JCL,Job Control Language,IT Organization
KBIT,KnowledgeBased Intelligence Tracking,IT Organization
KBMS,Knowledge Base Management System,IT Organization
KBSA,KnowledgeBased Software Assistant,IT Organization
KE,Knowledge Engineering,IT Organization
KIDS,KnowledgeBased Integrated Design System,IT Organization
KIP,Key Intelligence Position,IT Organization
KIQ,Key Intelligence Question,IT Organization
KMID,Key Material Identification Number,IT Organization
LAN,Local Area Network,IT Organization
LDBM,Local Database Manager,IT Organization
LDD,Logical Database Design,IT Organization
LDM,Logical Data Model,IT Organization
LEP,Late Enrollment Penalty,IT Organization
LOC,Lines of Code,IT Organization
LSA,Local Systems Administrator,IT Organization
MA BSF,Medicare Advantage Benefit Stabilization Fund,IT Organization
MAO,Medicare Advantage Organization,IT Organization
MARX,Medicare Advantage and Prescription Drug System,IT Organization
MAS,Medicare Appeals System,IT Organization
MDS,Minimum Data Set,IT Organization
MIIR,Management Information Integrated Repository,IT Organization
MIS,Management Information System,IT Organization
MLS,MultiLevel Security,IT Organization
MMR,Monthly Membership Report,IT Organization
MODEM,ModulatorDemodulator,IT Organization
MPLS,Multiprotocol Label Switching,IT Organization
MPR,Mathematical Policy Research,IT Organization
MQFE,Medicare Qualified Federal Employment,IT Organization
MSP,Manager Software Products,IT Organization
MSP,Message Security Protocol,IT Organization
NCITS,National Committee for Information Technical Standards,IT Organization
NCOCIC,"National Coordination Office for Computing, Information & Communications",IT Organization
NCS,National Communications System,IT Organization
NCSA,National Computer Security Association,IT Organization
NCSC,National Computer Security Center,IT Organization
NCTL,National Computer & Telecommunications Laboratory,IT Organization
NEIC,National Electronic Information Clearinghouse,IT Organization
NHC,Nursing Home Certifiable,IT Organization
NIT,National Internal Telecommunications (MTS),IT Organization
NIT,Network Information & Technology,IT Organization
NPA,Network Performance Analyzer,IT Organization
NSDD,National Security Decision Directive,IT Organization
NSEF,National Standard Electronic (Media) Format,IT Organization
NSEMC,National Standard Electronic Media Claims,IT Organization
NSS,National Systems Support,IT Organization
NSTISSI,National Security Telecommunications & Information Systems Security Institute,IT Organization
NT,New Technology,IT Organization
NTAG,National Technical Advisory Group,IT Organization
NTI,National Technical Information,IT Organization
NTIA,National Telecommunications & Information Administration,IT Organization
NTIOLS,New Technology IntraOcular Lenses,IT Organization
NTIS,"National Technical Information Service (NBS, DOC)",IT Organization
OEP,Open Enrollment Period,IT Organization
OEPNEW,Open Enrollment Period for Newly Eligible Individuals,IT Organization
OLAP,OnLine Analytic Processing,IT Organization
OLM,Online Mapping,IT Organization
OMS,Oversight and Management System,IT Organization
OOP,Object Oriented Programming,IT Organization
OSDIT,Office of Software Development & Information Technology,IT Organization
OSE,Open Software Evaluation,IT Organization
OTIS,Office of Telecommunications & Information Systems,IT Organization
OTIS,Online Telecommunications Information System,IT Organization
PBO,Payment Bill Option,IT Organization
PDE,Prescription Drug Event,IT Organization
PDFS,Prescription Drug Front-End System,IT Organization
PDP,Prescription Drug Plan,IT Organization
PDV,Program Data Vector,IT Organization
PL99-474,Computer Fraud & Abuse Act of 1986,IT Organization
PRS,Payment Reconciliation System,IT Organization
PVC,Permanent Virtual Circuit,IT Organization
PWS,Payment Withhold System,IT Organization
RACF,Resource Access Control Facility (software),IT Organization
RAPS,Risk Adjustment Processing System,IT Organization
RAPS,Risk Adjustment Processing System,IT Organization
RAS,Risk Adjustment System,IT Organization
S-MIME,Secure Multipurpose Internet Mail Extensions,IT Organization
S/W,Software,IT Organization
SA,Systems Administrator,IT Organization
SA,Systems Analyst,IT Organization
SA-CMM,Software Acquisition Capability Maturity Model,IT Organization
SAGE-204,SAS interface to M204 databases,IT Organization
SAS,Statistical Analysis Software,IT Organization
SAS,Statistical Analysis System,IT Organization
SCN,Strategic Communication Network,IT Organization
SDA,Software Design Activity,IT Organization
SDD,Software Design & Development,IT Organization
SEF,Software Engineering Facility,IT Organization
SEI,Software Engineering Institute,IT Organization
SEI-CMM,Software Engineering Institute Capability Maturity Model,IT Organization
SEIU,Software Engineering Institute Union,IT Organization
SEP,Special Election Period,IT Organization
SEPG,Software Engineering Process Group,IT Organization
SER,"Scientific, Engineering & Research",IT Organization
SES,Standards Enforcement Software,IT Organization
SES,System External Specifications,IT Organization
SET,Secure Electronic Transaction,IT Organization
SFTP,Secure File Transfer Protocol,IT Organization
SHMO,Social Health Maintenance Organization,IT Organization
SIM,Society for Information Management,IT Organization
SLIM,Software Life Cycle Maintenance,IT Organization
SME,Subject Matter Expert,IT Organization
SMP,Special Needs Plan,IT Organization
SMS,Systems Management Specialist,IT Organization
SPOE,Secure Point of Entry,IT Organization
SPOE,Secure Point of Entry,IT Organization
SSADO,Social Security Administration District Office,IT Organization
SSAFO,Social Security Administration Field Office,IT Organization
TARS,Telephone Action Requests System,IT Organization
TC,Technical Component,IT Organization
TC,Technology Component,IT Organization
TC,Telecommunications,IT Organization
TCAB,Technical Computer Advisory Board,IT Organization
TCC,Technical Control Center,IT Organization
TCS,Telephone Customer Service,IT Organization
TDD,Telecommunications Device for the Deaf,IT Organization
TDEA,Triple Data Encryption Algorithm,IT Organization
TIS,Technical (or Technology) Information Services,IT Organization
TRACS,Teleprocessing Remote Access Control System,IT Organization
TRC,Transaction Reply Code,IT Organization
TRID,Telecommunications Routing Indicator Directory,IT Organization
TRR,Transaction Reply Report,IT Organization
TSO,Time Sharing Option,IT Organization
TSO,Time Sharing Option,IT Organization
TTY,Text Telephones,IT Organization
UAT,User Acceptance Testing,IT Organization
UDB,Utilization Database,IT Organization
VBA,Visual Basic architecture,IT Organization
WATS,Wide Area Telephone Service,IT Organization
WBT,WebBased Training,IT Organization
WEDI,Workgroup on Electronic Data Interchange,IT Organization
